id,name,department,total_reviews_count,average_quality_rating,average_difficulty_rating,classes_taught,class_map
96656,Byung Kim,Mechanical Engineering,33,1.4242424242424243,3.787878787878788,"['MIE302', 'COMP2030', 'ME302', 'MIE211', 'COMP1000', 'MIE375', 'MIE211302375', '302', '313375', '211', 'MIE313', 'ENG113', 'MIE113', 'ENG313']","{""302"": {""prefix"": ""MIE"", ""suffix"": """", ""labels"": [""MIE302"", ""ME302"", ""302"", ""MIE211302375""]}, ""211"": {""prefix"": ""MIE"", ""suffix"": """", ""labels"": [""MIE211"", ""211"", ""MIE211302375""]}, ""375"": {""prefix"": ""MIE"", ""suffix"": """", ""labels"": [""MIE375"", ""MIE211302375"", ""313375""]}, ""313"": {""prefix"": ""MIE"", ""suffix"": """", ""labels"": [""MIE313"", ""ENG313"", ""313375""]}, ""113"": {""prefix"": ""Mechanical Engineering"", ""suffix"": """", ""labels"": [""ENG113"", ""MIE113""]}, ""misc"": {""prefix"": """", ""suffix"": """", ""labels"": [""MIE211302375"", ""313375""]}}"
361713,Shakuntala Ray,English,33,3.303030303030303,3.272727272727273,"['ENG112H', 'ENGWR112', 'ENG112', 'STPEC391H', 'ENGLI202', 'ENG202', 'LITSECT', 'ENGLWR11', 'ENGLWRIT112H', 'WRITING112H', '112', 'ENGL', 'ENG', '368', 'ENG368AND364', 'ENG364', '364', 'ENGL368', 'ENG368']","{""112"": {""prefix"": ""ENGWR"", ""suffix"": """", ""labels"": [""ENG112H"", ""ENGWR112"", ""ENG112"", ""ENGLWRIT112H"", ""WRITING112H"", ""112""]}, ""391"": {""prefix"": ""STPEC"", ""suffix"": ""H"", ""labels"": [""STPEC391H""]}, ""202"": {""prefix"": ""ENG"", ""suffix"": """", ""labels"": [""ENGLI202"", ""ENG202""]}, ""368"": {""prefix"": ""ENG"", ""suffix"": """", ""labels"": [""368"", ""ENGL368"", ""ENG368"", ""ENG368AND364""]}, ""364"": {""prefix"": ""English"", ""suffix"": """", ""labels"": [""ENG364"", ""364"", ""ENG368AND364""]}, ""misc"": {""prefix"": """", ""suffix"": """", ""labels"": [""LITSECT"", ""ENGL"", ""ENG"", ""ENGLWR11"", ""ENG368AND364""]}}"
556782,Patricia Gorman,Honors,33,3.8181818181818175,2.272727272727273,"['COMPLIT320H', 'HON391AH', 'HONORS201', 'HONORS201H', '201H', '291A', 'HONORS291', 'HONORS291A', 'HON291A', 'H291A', 'HONOR291A', 'HON420', 'HONOR291G', 'HON499D']","{""320"": {""prefix"": ""COMPLIT"", ""suffix"": ""H"", ""labels"": [""COMPLIT320H""]}, ""391"": {""prefix"": ""HON"", ""suffix"": ""HA"", ""labels"": [""HON391AH""]}, ""201"": {""prefix"": """", ""suffix"": ""H"", ""labels"": [""HONORS201"", ""HONORS201H"", ""201H""]}, ""291"": {""prefix"": ""HONOR"", ""suffix"": ""A"", ""labels"": [""291A"", ""HONORS291"", ""HONORS291A"", ""HON291A"", ""H291A"", ""HONOR291A"", ""HONOR291G""]}, ""420"": {""prefix"": ""HON"", ""suffix"": """", ""labels"": [""HON420""]}, ""499"": {""prefix"": ""HON"", ""suffix"": ""D"", ""labels"": [""HON499D""]}}"
1121499,Steve Fox,Journalism,33,4.363636363636363,3.0,"['JOURN250', 'MULTIMEDIA', 'JOURN328', 'JOURN000', 'HONORS191', 'JOURNAL250', 'JOURN332', 'JOURNALISM397', 'JOURN292N', 'JOURN393S', 'JOURN397G', 'JOURN393', 'JOURN397', 'JOURN201']","{""250"": {""prefix"": ""JOURN"", ""suffix"": """", ""labels"": [""JOURN250"", ""JOURNAL250""]}, ""328"": {""prefix"": ""JOURN"", ""suffix"": """", ""labels"": [""JOURN328""]}, ""000"": {""prefix"": ""JOURN"", ""suffix"": """", ""labels"": [""JOURN000""]}, ""191"": {""prefix"": ""HONORS"", ""suffix"": """", ""labels"": [""HONORS191""]}, ""332"": {""prefix"": ""JOURN"", ""suffix"": """", ""labels"": [""JOURN332""]}, ""397"": {""prefix"": ""Journalism"", ""suffix"": """", ""labels"": [""JOURNALISM397"", ""JOURN397G"", ""JOURN397""]}, ""292"": {""prefix"": ""JOURN"", ""suffix"": ""N"", ""labels"": [""JOURN292N""]}, ""393"": {""prefix"": ""JOURN"", ""suffix"": ""S"", ""labels"": [""JOURN393S"", ""JOURN393""]}, ""201"": {""prefix"": ""JOURN"", ""suffix"": """", ""labels"": [""JOURN201""]}, ""misc"": {""prefix"": """", ""suffix"": """", ""labels"": [""MULTIMEDIA""]}}"
1326723,Lance Lehmberg,Music,33,3.515151515151515,1.818181818181818,"['MUSIC100', 'MUS100', 'ONLINECOURSE', 'MUSIC101', 'MSIC100']","{""100"": {""prefix"": ""MUSIC"", ""suffix"": """", ""labels"": [""MUSIC100"", ""MUS100"", ""MSIC100""]}, ""101"": {""prefix"": ""MUSIC"", ""suffix"": """", ""labels"": [""MUSIC101""]}, ""misc"": {""prefix"": """", ""suffix"": """", ""labels"": [""ONLINECOURSE""]}}"
1747723,Jeffrey Starns,Psychology,32,4.59375,2.375,"['PSYCH240H', 'PSYCH240', 'STATS240', 'PSYCH391', '240', 'PSYCH315', 'COGNITIVEPSYCH', 'PSYCH315H', 'PSY240', 'STATS', 'STATS24P']","{""240"": {""prefix"": ""PSYCH"", ""suffix"": """", ""labels"": [""PSYCH240H"", ""PSYCH240"", ""STATS240"", ""240"", ""PSY240"", ""STATS24P""]}, ""391"": {""prefix"": ""PSYCH"", ""suffix"": """", ""labels"": [""PSYCH391""]}, ""315"": {""prefix"": ""PSYCH"", ""suffix"": ""H"", ""labels"": [""PSYCH315"", ""PSYCH315H""]}, ""misc"": {""prefix"": """", ""suffix"": """", ""labels"": [""COGNITIVEPSYCH"", ""STATS""]}}"
87802,Erica Scharrer,Communication,32,4.59375,2.25,"['COMM426', 'COMM497', 'COM226', 'COMM101', 'COMM226', 'COMM397U', 'COMM494', '226', 'TVCLASS', 'COMM', 'COMM397']","{""426"": {""prefix"": ""COMM"", ""suffix"": """", ""labels"": [""COMM426""]}, ""497"": {""prefix"": ""COMM"", ""suffix"": """", ""labels"": [""COMM497""]}, ""226"": {""prefix"": ""COMM"", ""suffix"": """", ""labels"": [""COM226"", ""COMM226"", ""226""]}, ""101"": {""prefix"": ""COMM"", ""suffix"": """", ""labels"": [""COMM101""]}, ""397"": {""prefix"": ""COMM"", ""suffix"": ""U"", ""labels"": [""COMM397U"", ""COMM397""]}, ""494"": {""prefix"": ""COMM"", ""suffix"": """", ""labels"": [""COMM494""]}, ""misc"": {""prefix"": """", ""suffix"": """", ""labels"": [""TVCLASS"", ""COMM""]}}"
1747802,Duncan Irschick,Biology,32,4.21875,2.9375,"['BIO497AM', 'BIOL567', 'BIO105', 'BIO566']","{""497"": {""prefix"": ""BIO"", ""suffix"": ""MA"", ""labels"": [""BIO497AM""]}, ""567"": {""prefix"": ""BIOL"", ""suffix"": """", ""labels"": [""BIOL567""]}, ""105"": {""prefix"": ""BIO"", ""suffix"": """", ""labels"": [""BIO105""]}, ""566"": {""prefix"": ""BIO"", ""suffix"": """", ""labels"": [""BIO566""]}}"
2058022,Renee Pratt,Business,32,2.15625,3.25,"['OIM452', 'OIM210', 'OIM240']","{""452"": {""prefix"": ""OIM"", ""suffix"": """", ""labels"": [""OIM452""]}, ""210"": {""prefix"": ""OIM"", ""suffix"": """", ""labels"": [""OIM210""]}, ""240"": {""prefix"": ""OIM"", ""suffix"": """", ""labels"": [""OIM240""]}}"
2821694,Joshua Lonthair,Biology,36,4.138888888888889,3.555555555555556,"['BIO288', 'BIO564', 'Bio312']","{""288"": {""prefix"": ""BIO"", ""suffix"": """", ""labels"": [""BIO288""]}, ""564"": {""prefix"": ""BIO"", ""suffix"": """", ""labels"": [""BIO564""]}, ""312"": {""prefix"": ""Bio"", ""suffix"": """", ""labels"": [""Bio312""]}}"
