id,name,department,total_reviews_count,average_quality_rating,average_difficulty_rating,classes_taught
88093,Monika Schmitter,Fine Arts,38,3.236842105263158,3.3684210526315788,"['AH213', 'AH100', 'ARTHI100', 'ARTHIST190', 'ARTHIS190', 'HIST190A', '2016', 'AH313', 'ARTH313', 'ARHIS100', 'ARTHI115', 'ARTIH115', 'ART115', 'ARTHIST100', 'ARTHIS', 'ARTHIST313', 'ARHIST313', 'ARTHISTOR', 'ARTHIS513', 'ARH513', 'ARTHIST513', 'ARTHIS100', 'ARTHIST53', 'ARTHIS115', 'ARTHIST10']"
77121,Paula Stamps,Medicine,37,4.648648648648648,1.8918918918918919,"['PUBHLTH494CI', 'PUBHLTH129', 'PUB', 'PH129', 'PUBH129', 'PUBHL129', 'HLTH129', 'COMHLTH129', 'COMHEALTH129', 'COMHEALTH126', 'COMHEALTH', 'COMMHLT129', 'COMHLT129', '129', 'COMHTH129', 'COMHL390A', 'CH129390', '390A525', '390A', 'COMHL160', 'COM390A', 'COMHL129', 'COMHLTH1']"
88292,Sarah Poissant,Communication,37,3.2432432432432434,3.945945945945946,"['COMDIS311', 'COMDI211', 'COMMDIS211', 'COMDIS211', '211', 'COMDISS211', 'COMDI210', 'COMM212', 'ED211', 'CD210', 'COMDIS210', 'EDAUD', 'COMDIS']"
1485419,Helene Cousin,Biology,41,3.6097560975609757,3.4634146341463414,"['ANSCI220', 'ANIMLSCI220', 'ANSCI234', 'ANSCI254', 'BIO580', 'ANSCI200', '73349']"
549221,Thomas Stevens,Economics,37,3.972972972972973,2.0,"['REECO102', 'RESEC102', 'RESECON104', 'RESECON102', 'RESECO102', 'ECON102', 'RESEC471', 'RES102', 'RESEC103', '102', 'RESOURCEECON']"
837406,Barbara Tomaskovic-Devey,Sociology,37,3.3783783783783785,3.5675675675675675,"['110H', 'SOC384', 'SOC110', 'SOC383', 'SOC382', 'SOCIOL384H', 'SOC388', 'SOSH100', 'SOCCHIL', 'SOC284', 'SOCIO384', 'SOC382C', 'SOCIO382C', 'SOC383H', 'SOC242', 'SOC297H', 'SOCIO383', 'SOC301']"
1275645,Katir Patel,Microbiology,37,4.945945945945946,1.5405405405405406,"['MIC304', 'AA', 'BIO160', 'MICRO160', 'MICBI160', 'MBIO160', 'MICRO101', 'MICRO1', 'BIO105']"
725040,Robert Bowse,Management,37,4.162162162162162,2.5675675675675675,"['SCHMGMT200', 'SCHM200', 'SCHMGMT310', 'MGMT310', 'SCHM310', 'ISOM310', 'MGT310', 'SOM310', 'SCHMG310', 'ENGWR112', 'ENG111', 'ENG112', 'ENWRT112H', 'ENGW112H', 'ENG113H', 'ENG112H', 'FRESHMANWRITIN']"
1059593,Frank Caruso,Management,37,4.756756756756757,2.3513513513513513,"['ACCT483', 'MGMT260', 'MGMT361', 'MANAGMNT260', 'MGT361', 'SOM583CPALAW', 'FIN305', 'SOM583', '583', 'SCHMGMT583', 'MGMT783', 'SCMGT583', 'MGT260']"
1980286,Michael  Hayes,Mathematics,37,3.72972972972973,3.324324324324324,"['MATH113', 'MATH127', 'MAT127', 'MATH128', 'MAT113', 'MATH104', 'CALC127', 'MAT101', 'MATH101', 'MATH102', 'MAT102', '114']"
99954,Ben Branch,Business,37,3.0,4.162162162162162,"['FIN507', 'SCHMGMT507', 'FIN305', '597AD', '305', 'FINANCE305', 'FINOP320', 'FIN320', 'FINOMGT320', 'INVESTMENTS', 'FOMGT320', '320', 'FINANCE', 'INVESTMENT']"
88165,Russell Tessier,Electrical Engineering,37,4.135135135135135,2.7837837837837838,"['ECE122', '122', 'ECE636', 'ECE232', 'ECE242', 'ENGIN242', 'ECE354H', 'ECE112', 'ENGIN112', '112', 'ECE111', '551', 'ENG112', 'ENIGN112', 'ECE354']"
92493,Marta Calas,Business,37,2.2162162162162162,4.108108108108108,"['MGMT379', '448', 'MGT448', 'MGMT448', 'OIM379', 'MGMT394G', 'MGMT802', 'MNGT448', 'GREATBOOK', 'SOM802', 'SPAN497I', 'MGT', 'MGT497', 'MGT497I']"
2477533,Jeffrey Clark,Business,39,4.230769230769231,2.3333333333333335,"['SCHMGMT192I', 'MGMT434', 'SCHMGMT433', 'SCHMGMT333', 'MGMT333', 'SCH333', 'RE333']"
99921,Eric Bittman,Biology,37,2.2432432432432434,4.486486486486487,"['571BIO', 'BIO571', 'BIO564', 'HONORS391A', 'FYYS100', 'BIOL571', 'BIO572', 'BIO105', 'BIO546', 'ENDO', '63']"
11234,Richard Simpson,Accounting,36,4.805555555555555,3.25,"['SCHMGMT523', 'ACCT322', 'ACCT222', 'ACCT321322', 'SOM523', 'ACCTG1', 'ACCT522', 'ACTG522', 'ACCT321', '322', '521', 'SOM523RETAKE', 'SOM522', '321322521522', 'SOM521AND522', 'ACCTG322', 'SOM521322', 'SOM322', 'SOM521', 'ACNTG322', 'ACCTG321', 'ACCGT322', 'SOM5213']"
1026477,Gerald Downes,Biology,37,3.72972972972973,3.189189189189189,"['BIOL572', 'BIO572', 'BIO105', 'BIO285', 'BIO197H']"
343958,Michael Dolan,Geology,36,3.1944444444444446,2.75,"['BIO105', 'MICRO310', 'MICRO160', 'BIO160', 'MIBIO160', 'BIO100', 'BIOLOGY105', 'BIOL105', 'BIO201']"
715459,Donald Tomaskovic - Devey,Sociology,38,3.473684210526316,1.9473684210526316,"['SOC103', 'SOCIOL103', 'SOCIO103', 'SOC211', 'SOCIOL211']"
27767,Robert Paynter,Anthropology,36,3.611111111111111,2.6666666666666665,"['ANTHRO100', 'ANTHR100', 'ANTH100', 'ANTHRO', '100', 'ANT100']"
83242,Elizabeth Connor,Biology,36,2.9722222222222223,3.7777777777777777,"['BIO523', 'HIST523', 'BIOL523', 'BIO101', 'BIOLOGY101', 'BIO102', 'BIOLOGY10', 'BIOL101', '101', 'BIOL100']"
1858060,Michelle Trim,Computer Science,36,1.7222222222222223,2.75,"['CICS305', 'INFO101', 'CS305', 'CMPSCI305']"
2734421,Cheryl Swanier,Computer Science,36,1.2222222222222223,2.2777777777777777,"['INFO101', 'CICS110', 'CS325', 'CS187', 'COMPSCI121', 'CS121']"
